bcv_id,book_id,old_or_new,chapter,verse
gen.1.1,gen,old,1,1
gen.1.2,gen,old,1,2
gen.1.3,gen,old,1,3
gen.1.4,gen,old,1,4
gen.1.5,gen,old,1,5
gen.1.6,gen,old,1,6
gen.1.7,gen,old,1,7
gen.1.8,gen,old,1,8
gen.1.9,gen,old,1,9
gen.1.10,gen,old,1,10
gen.1.11,gen,old,1,11
gen.1.12,gen,old,1,12
gen.1.13,gen,old,1,13
gen.1.14,gen,old,1,14
gen.1.15,gen,old,1,15
gen.1.16,gen,old,1,16
gen.1.17,gen,old,1,17
gen.1.18,gen,old,1,18
gen.1.19,gen,old,1,19
gen.1.20,gen,old,1,20
gen.1.21,gen,old,1,21
gen.1.22,gen,old,1,22
gen.1.23,gen,old,1,23
gen.1.24,gen,old,1,24
gen.1.25,gen,old,1,25
gen.1.26,gen,old,1,26
gen.1.27,gen,old,1,27
gen.1.28,gen,old,1,28
gen.1.29,gen,old,1,29
gen.1.30,gen,old,1,30
gen.1.31,gen,old,1,31
gen.2.1,gen,old,2,1
gen.2.2,gen,old,2,2
gen.2.3,gen,old,2,3
gen.2.4,gen,old,2,4
gen.2.5,gen,old,2,5
gen.2.6,gen,old,2,6
gen.2.7,gen,old,2,7
gen.2.8,gen,old,2,8
gen.2.9,gen,old,2,9
gen.2.10,gen,old,2,10
gen.2.11,gen,old,2,11
gen.2.12,gen,old,2,12
gen.2.13,gen,old,2,13
gen.2.14,gen,old,2,14
gen.2.15,gen,old,2,15
gen.2.16,gen,old,2,16
gen.2.17,gen,old,2,17
gen.2.18,gen,old,2,18
gen.2.19,gen,old,2,19
gen.2.20,gen,old,2,20
gen.2.21,gen,old,2,21
gen.2.22,gen,old,2,22
gen.2.23,gen,old,2,23
gen.2.24,gen,old,2,24
gen.2.25,gen,old,2,25
gen.3.1,gen,old,3,1
gen.3.2,gen,old,3,2
gen.3.3,gen,old,3,3
gen.3.4,gen,old,3,4
gen.3.5,gen,old,3,5
gen.3.6,gen,old,3,6
gen.3.7,gen,old,3,7
gen.3.8,gen,old,3,8
gen.3.9,gen,old,3,9
gen.3.10,gen,old,3,10
gen.3.11,gen,old,3,11
gen.3.12,gen,old,3,12
gen.3.13,gen,old,3,13
gen.3.14,gen,old,3,14
gen.3.15,gen,old,3,15
gen.3.16,gen,old,3,16
gen.3.17,gen,old,3,17
gen.3.18,gen,old,3,18
gen.3.19,gen,old,3,19
gen.3.20,gen,old,3,20
gen.3.21,gen,old,3,21
gen.3.22,gen,old,3,22
gen.3.23,gen,old,3,23
gen.3.24,gen,old,3,24
gen.4.1,gen,old,4,1
gen.4.2,gen,old,4,2
gen.4.3,gen,old,4,3
gen.4.4,gen,old,4,4
gen.4.5,gen,old,4,5
gen.4.6,gen,old,4,6
gen.4.7,gen,old,4,7
gen.4.8,gen,old,4,8
gen.4.9,gen,old,4,9
gen.4.10,gen,old,4,10
gen.4.11,gen,old,4,11
gen.4.12,gen,old,4,12
gen.4.13,gen,old,4,13
gen.4.14,gen,old,4,14
gen.4.15,gen,old,4,15
gen.4.16,gen,old,4,16
gen.4.17,gen,old,4,17
gen.4.18,gen,old,4,18
gen.4.19,gen,old,4,19
gen.4.20,gen,old,4,20
gen.4.21,gen,old,4,21
gen.4.22,gen,old,4,22
gen.4.23,gen,old,4,23
gen.4.24,gen,old,4,24
gen.4.25,gen,old,4,25
gen.4.26,gen,old,4,26
gen.5.1,gen,old,5,1
gen.5.2,gen,old,5,2
gen.5.3,gen,old,5,3
gen.5.4,gen,old,5,4
gen.5.5,gen,old,5,5
gen.5.6,gen,old,5,6
gen.5.7,gen,old,5,7
gen.5.8,gen,old,5,8
gen.5.9,gen,old,5,9
gen.5.10,gen,old,5,10
gen.5.11,gen,old,5,11
gen.5.12,gen,old,5,12
gen.5.13,gen,old,5,13
gen.5.14,gen,old,5,14
gen.5.15,gen,old,5,15
gen.5.16,gen,old,5,16
gen.5.17,gen,old,5,17
gen.5.18,gen,old,5,18
gen.5.19,gen,old,5,19
gen.5.20,gen,old,5,20
gen.5.21,gen,old,5,21
gen.5.22,gen,old,5,22
gen.5.23,gen,old,5,23
gen.5.24,gen,old,5,24
gen.5.25,gen,old,5,25
gen.5.26,gen,old,5,26
gen.5.27,gen,old,5,27
gen.5.28,gen,old,5,28
gen.5.29,gen,old,5,29
gen.5.30,gen,old,5,30
gen.5.31,gen,old,5,31
gen.5.32,gen,old,5,32
gen.6.1,gen,old,6,1
gen.6.2,gen,old,6,2
gen.6.3,gen,old,6,3
gen.6.4,gen,old,6,4
gen.6.5,gen,old,6,5
gen.6.6,gen,old,6,6
gen.6.7,gen,old,6,7
gen.6.8,gen,old,6,8
gen.6.9,gen,old,6,9
gen.6.10,gen,old,6,10
gen.6.11,gen,old,6,11
gen.6.12,gen,old,6,12
gen.6.13,gen,old,6,13
gen.6.14,gen,old,6,14
gen.6.15,gen,old,6,15
gen.6.16,gen,old,6,16
gen.6.17,gen,old,6,17
gen.6.18,gen,old,6,18
gen.6.19,gen,old,6,19
gen.6.20,gen,old,6,20
gen.6.21,gen,old,6,21
gen.6.22,gen,old,6,22
gen.7.1,gen,old,7,1
gen.7.2,gen,old,7,2
gen.7.3,gen,old,7,3
gen.7.4,gen,old,7,4
gen.7.5,gen,old,7,5
gen.7.6,gen,old,7,6
gen.7.7,gen,old,7,7
gen.7.8,gen,old,7,8
gen.7.9,gen,old,7,9
gen.7.10,gen,old,7,10
gen.7.11,gen,old,7,11
gen.7.12,gen,old,7,12
gen.7.13,gen,old,7,13
gen.7.14,gen,old,7,14
gen.7.15,gen,old,7,15
gen.7.16,gen,old,7,16
gen.7.17,gen,old,7,17
gen.7.18,gen,old,7,18
gen.7.19,gen,old,7,19
gen.7.20,gen,old,7,20
gen.7.21,gen,old,7,21
gen.7.22,gen,old,7,22
gen.7.23,gen,old,7,23
gen.7.24,gen,old,7,24
gen.8.1,gen,old,8,1
gen.8.2,gen,old,8,2
gen.8.3,gen,old,8,3
gen.8.4,gen,old,8,4
gen.8.5,gen,old,8,5
gen.8.6,gen,old,8,6
gen.8.7,gen,old,8,7
gen.8.8,gen,old,8,8
gen.8.9,gen,old,8,9
gen.8.10,gen,old,8,10
gen.8.11,gen,old,8,11
gen.8.12,gen,old,8,12
gen.8.13,gen,old,8,13
gen.8.14,gen,old,8,14
gen.8.15,gen,old,8,15
gen.8.16,gen,old,8,16
gen.8.17,gen,old,8,17
gen.8.18,gen,old,8,18
gen.8.19,gen,old,8,19
gen.8.20,gen,old,8,20
gen.8.21,gen,old,8,21
gen.8.22,gen,old,8,22
gen.9.1,gen,old,9,1
gen.9.2,gen,old,9,2
gen.9.3,gen,old,9,3
gen.9.4,gen,old,9,4
gen.9.5,gen,old,9,5
gen.9.6,gen,old,9,6
gen.9.7,gen,old,9,7
gen.9.8,gen,old,9,8
gen.9.9,gen,old,9,9
gen.9.10,gen,old,9,10
gen.9.11,gen,old,9,11
gen.9.12,gen,old,9,12
gen.9.13,gen,old,9,13
gen.9.14,gen,old,9,14
gen.9.15,gen,old,9,15
gen.9.16,gen,old,9,16
gen.9.17,gen,old,9,17
gen.9.18,gen,old,9,18
gen.9.19,gen,old,9,19
gen.9.20,gen,old,9,20
gen.9.21,gen,old,9,21
gen.9.22,gen,old,9,22
gen.9.23,gen,old,9,23
gen.9.24,gen,old,9,24
gen.9.25,gen,old,9,25
gen.9.26,gen,old,9,26
gen.9.27,gen,old,9,27
gen.9.28,gen,old,9,28
gen.9.29,gen,old,9,29
gen.10.1,gen,old,10,1
gen.10.2,gen,old,10,2
gen.10.3,gen,old,10,3
gen.10.4,gen,old,10,4
gen.10.5,gen,old,10,5
gen.10.6,gen,old,10,6
gen.10.7,gen,old,10,7
gen.10.8,gen,old,10,8
gen.10.9,gen,old,10,9
gen.10.10,gen,old,10,10
gen.10.11,gen,old,10,11
gen.10.12,gen,old,10,12
gen.10.13,gen,old,10,13
gen.10.14,gen,old,10,14
gen.10.15,gen,old,10,15
