unique_name,strongs,founder,people_group,latitude,lat,longitude,long,bcv_id
Abel-beth-maacah@2Sa.20.14,H0062,,,33.26852614315892,33.2,35.57804682248786,35.5,2sa.20.14
Abel-keramim@Jdg.11.33,H0064,,,32.02425,32.0,35.82352,35.8,jdg.11.33
Abel-meholah@Jdg.7.22,H0065,,,32.356010,32.3,35.536929,35.5,jdg.7.22
Shittim@Num.33.49,H7851G,,,31.85826217905818,31.8,35.64156652792805,35.6,num.33.49
Abilene@Luk.3.1,G0009,,,33.587300,33.5,36.091710,36.0,luk.3.1
Abronah@Num.33.34,H5684,,,29.75804307645581,29.7,35.0306017443078,35.0,num.33.34
Accad@Gen.10.10,H0390,,,33.09201653975629,33.0,44.12924814594658,44.1,gen.10.10
Acco@Jdg.1.31,H5910,,,32.927583,32.9,35.081555,35.0,jdg.1.31
Achaia@Act.18.12,G0882,,,37.98333333333333,37.9,23.73333333333333,23.7,act.18.12
Achor_Valley@Jos.7.24,H5911,,,31.836890,31.8,35.399737,35.3,jos.7.24
Achshaph@Jos.11.1,H0407,,,32.95182083157021,32.9,35.17382658065705,35.1,jos.11.1
Achzib@Jos.15.44,H0392G,,,31.700000,31.7,35.000000,35.0,jos.15.44
Achzib@Jos.19.29,H0392H,,,33.04846798541127,33.0,35.10220252805766,35.1,jos.19.29
Adadah@Jos.15.22,H5735,,,31.1858,31.1,34.96745,34.9,jos.15.22
Adam@Jos.3.16,H0121H,,,32.09772014797369,32.0,35.56469085401976,35.5,jos.3.16
Adamah@Jos.19.36,H0128,,,32.7253,32.7,35.4382,35.4,jos.19.36
Adami-nekeb@Jos.19.33,H0129,,,32.610500,32.6,35.542890,35.5,jos.19.33
Addan@Ezr.2.59,H0135,,,0,,14z,,ezr.2.59
Addar@Jos.15.3,H0146G,,,30.9522,30.9,34.7187,34.7,jos.15.3
Adithaim@Jos.15.36,H5723,,,31.7001,31.7,34.89532,34.8,jos.15.36
