unique_name,qualifer,significance,estrong,dstrong,original,esv_name
Abel-beth-maacah@2Sa.20.14,,- Named,H0062,H0062,אָבֵל בֵּית מַעֲכָה,Abel/-beth-maacah (NIV= Abel Beth Maacah)
Abel-beth-maacah@2Sa.20.14,Abel,- Named,H0059H,H0059,אָבֵל,Abel
Abel-beth-maacah@2Sa.20.14,Abel-maim,- Named,H0066,H0066,אַבֵל מַיִם,Abel-maim (NIV= Abel Maim)
Abel-keramim@Jdg.11.33,,- Named,H0064,H0064,אָבֵל כְּרָמִים,Abel-keramim (NIV= Abel Keramim)
Abel-meholah@Jdg.7.22,,- Named,H0065,H0065,אָבֵל מְחוֹלָה,Abel-meholah (NIV= Abel Meholah)
Shittim@Num.33.49,,- Named,H7851G,H7851,שִׁטִּים,Shittim
Shittim@Num.33.49,Abel-shittim,- Named,H0063,H0063,אָבֵל הַשִּׁטִּים,Abel-shittim (NIV= Abel Shittim)
Abilene@Luk.3.1,,- Named,G0009,G0009,Ἀβιληνή,Abilene
Abronah@Num.33.34,,- Named,H5684,H5684,עַבְרֹנָה,Abronah
Accad@Gen.10.10,,- Named,H0390,H0390,אַכַּד,Accad
Acco@Jdg.1.31,,- Named,H5910,H5910,עַכּוֹ,Acco (NIV= Akko)
Acco@Jdg.1.31,Ptolemais,Greek,G4424,G4424,Πτολεμαΐς,Ptolemais
Achaia@Act.18.12,,- Named,G0882,G0882,Ἀχαΐα,Achaia
Achor_Valley@Jos.7.24,," - Name Combined",H5911,,H5911,Valley/ of Achor
Achshaph@Jos.11.1,,- Named,H0407,H0407,אַכְשָׁף,Achshaph NIV= Akshaph)
Achzib@Jos.15.44,,- Named,H0392G,H0392,אַכְזִיב,Achzib (NIV= Akzib)
Achzib@Jos.15.44,Chezib,- Named,H3580,H3580,כְּזִיב,Chezib
Achzib@Jos.15.44,Cozeba,- Named,H3578,H3578,כֹּֽזֵבָ֗א,Cozeba (KJV= Chozeba; NIV= Kozeba)
Achzib@Jos.19.29,,- Named,H0392H,H0392,אַכְזִיב,Achzib (NIV= Akzib)
Adadah@Jos.15.22,,- Named,H5735,H5735,עֲדְעָדָה,Adadah
Adam@Jos.3.16,,- Named,H0121H,H0121,אָדָם,Adam
Adamah@Jos.19.36,,- Named,H0128,H0128,אֲדָמָה,Adamah
Adami-nekeb@Jos.19.33,," - Name Combined",H0129,,H0129,"Adami/-nekeb (KJV, NIV= Adami Nekeb)"
Addan@Ezr.2.59,,- Named,H0135,H0135,אַדָּן,Addan
Addan@Ezr.2.59,Addon,- Named,H0114,H0114,אַדּוֹן,Addon
Addar@Jos.15.3,,- Named,H0146G,H0146,אַדָּר,Addar
Adithaim@Jos.15.36,,- Named,H5723,H5723,עֲדִיתַ֫יִם,Adithaim
Admah@Gen.10.19,,- Named,H0126,H0126,אַדְמָה,Admah
Adoraim@2Ch.11.9,,- Named,H0115,H0115,אֲדוֹרַ֫יִם,Adoraim
Adramyttium@Act.27.2,,- Named,G0098,G0098,Ἀδραμυττηνός,Adramyttium
Adriatic_Sea@Act.27.27,,- Named,G0099,G0099,Ἀδρίας,Adriatic Sea
Adullam@Jos.12.15,,- Named,H5725,H5725,עֲדֻלָּם,Adullam
Adullam@Jos.12.15,,- Group,H5726,H5726,עֲדֻלָּמִי,Adullamite
Adummim@Jos.15.7,,- Named,H0131,H0131,אֲדֻמִּים,Adummim
Aenon@Jhn.3.23,,- Named,G0137,G0137,Αἰνών,Aenon
Ahava@Ezr.8.15,,- Named,H0163,H0163,אַהֲוָא,Ahava
Ahlab@Jdg.1.31,,- Named,H0303,H0303,אַחְלָב,Ahlab
Ahlab@Jdg.1.31,Mahalab,- Named,H2256A,H2256a,חֶ֫בֶל,Mahalab (KJV= coast; NIV= region)
Ai@Gen.12.8,,- Named,H5857G,H5857,עַי,Ai
Ai@Gen.12.8,,- (same as previous),H5857G,H5857,עַי,"city (=Ketiv. Qere, KJV, NIV= Ai)"
Ai@Gen.12.8,,- (same as previous),H5857G,H5857,עַי,Aiath
Ai@Gen.12.8,,- (same as previous),H5857G,H5857,עַי,Aija
Ai@Jer.49.3,,- Named,H5857H,H5857,עַי,Ai
Aijalon@Jos.10.12,,- Named,H0357,H0357,אַיָּלוֹן,Aijalon
Ain@Num.34.11,,- Named,H5871G,H5871,עַ֫יִן,Ain
Ain@Num.34.11,Rimmon,- Named,H7417G,H7417c,"רִמּוֹן, רִמּוֹנוֹ",Rimmon
Ain@Jos.15.32,,- Named,H5871H,H5871,עַ֫יִן,Ain
Ain@Jos.15.32,En-rimmon,- Named,H5884,H5884,עֵין רִמּוֹן,En-rimmon (NIV= En Rimmon)
Akeldama@Act.1.19,,- Named,G0184,G0184,Ἀκελδαμά,Akeldama
Akrabbim@Num.34.4,,- Named,H4610,H4610,עַקְרַבִּים,Akrabbim (NIV= Scorpion)
Alemeth@Jos.21.18,,- Named,H5964G,H5964,עָלֶ֫מֶת,Alemeth
Alemeth@Jos.21.18,Almon,- Named,H5960,H5960,עַלְמוֹן,Almon
Alexandria@Act.6.9,,- Named,G0222,G0222,Ἀλεξανδρῖνος,Alexandria
Alexandria@Act.6.9,,- Group,G0221,G0221,Ἀλεξανδρεύς,Alexandrian
Allammelech@Jos.19.26,,- Named,H0487,H0487,אַלַּמֶּלֶךְ,Allammelech (NIV= Allammelek)
Allon@Jos.19.33,oak,- Named,H0438G,H0438,אַלּוֹן,oak (KJV= Allon; NIV= large tree)
Allon-bacuth@Gen.35.8,,- Named,H0439,H0439,אַלּוֹן בָּכוּת,Allon-bacuth (KJV= Allon-bachuth; NIV= Allon-bakuth)
Alush@Num.33.13,,- Named,H0442,H0442,אָלוּשׁ,Alush
Amad@Jos.19.26,,- Named,H6008,H6008,עַמְעָד,Amad
Amalek@Gen.14.7,,- Named,H6002G,H6002,עֲמָלֵק,Amalek
Amalek@Gen.14.7,,- (same as previous),H6002G,H6002,עֲמָלֵק,Amalekite
Amalek@Gen.14.7,valley,- (same as previous),H6002G,H6002,עֲמָלֵק,valley (KJV= Amalek)
Amalek@Gen.14.7,,- Group,H6003,H6003,עֲמָלֵקִי,Amalekite
Amam@Jos.15.26,,- Named,H0538,H0538,אֲמָם,Amam
Amana@Sng.4.8,,- Named,H0549G,H0549,אֲמָנָה,Amana
Amaw@Num.22.5,,- Named,H5971J,H5971a,עַם,"Amaw (KJV, NIV= people)"
Ammah@2Sa.2.24,,- Named,H0522,H0522,אַמָּה,Ammah
Ammon@Deu.2.19,,- Named,H5983,H5983,עַמּוֹן,Ammon
Ammon@Deu.2.19,,- (same as previous),H5983,H5983,עַמּוֹן,Ammonite
Ammon@Deu.2.19,,- Named,H5984H,H5984,עַמּוֹנִי,Ammon
Ammon@Deu.2.19,,- (same as previous),H5984H,H5984,עַמּוֹנִי,Ammonite
Ammon@Deu.2.19,,- (same as previous),H5985,H5985,עַמּוֹנִית,Ammonitess
Ammon@Deu.2.19,Ham,- Named,H1990,H1990,הָ֑ם,Ham
Ammon@Deu.2.19,Rabbah,- Named,H7237,H7237,רַבָּה,Rabbah
Ammon@Deu.2.19,Rabbah,- (same as previous),H7237,H7237,רַבָּה,Rabbah (KJV= Rabbath)
Amphipolis@Act.17.1,,- Named,G0295,G0295,Ἀμφίπολις,Amphipolis
Anab@Jos.11.21,,- Named,H6024,H6024,עֲנָב,Anab
