from_unique_name,to_bcv_id
Abel-beth-maacah@2Sa.20.14,2sa.20.14
Abel-beth-maacah@2Sa.20.14,2sa.20.15
Abel-beth-maacah@2Sa.20.14,1ki.15.20
Abel-beth-maacah@2Sa.20.14,2ki.15.29
Abel-beth-maacah@2Sa.20.14,2sa.20.18
Abel-beth-maacah@2Sa.20.14,2ch.16.4
Abel-keramim@Jdg.11.33,jdg.11.33
Abel-meholah@Jdg.7.22,jdg.7.22
Abel-meholah@Jdg.7.22,1ki.4.12
Abel-meholah@Jdg.7.22,1ki.19.16
Shittim@Num.33.49,num.25.1
Shittim@Num.33.49,jos.2.1
Shittim@Num.33.49,jos.3.1
Shittim@Num.33.49,mic.6.5
Shittim@Num.33.49,num.33.49
Abilene@Luk.3.1,luk.3.1
Abronah@Num.33.34,num.33.34
Abronah@Num.33.34,num.33.35
Accad@Gen.10.10,gen.10.10
Acco@Jdg.1.31,jdg.1.31
Acco@Jdg.1.31,act.21.7
Achaia@Act.18.12,act.18.12
Achaia@Act.18.12,act.18.27
Achaia@Act.18.12,act.19.21
Achaia@Act.18.12,rom.15.26
Achaia@Act.18.12,rom.16.5
Achaia@Act.18.12,1co.16.15
Achaia@Act.18.12,2co.1.1
Achaia@Act.18.12,2co.9.2
Achaia@Act.18.12,2co.11.10
Achaia@Act.18.12,1th.1.7
Achaia@Act.18.12,1th.1.8
Achor_Valley@Jos.7.24,jos.7.24
Achor_Valley@Jos.7.24,jos.7.26
Achor_Valley@Jos.7.24,jos.15.7
Achor_Valley@Jos.7.24,isa.65.10
Achor_Valley@Jos.7.24,hos.2.15
Achshaph@Jos.11.1,jos.11.1
Achshaph@Jos.11.1,jos.12.20
Achshaph@Jos.11.1,jos.19.25
Achzib@Jos.15.44,jos.15.44
Achzib@Jos.15.44,mic.1.14
Achzib@Jos.15.44,gen.38.5
Achzib@Jos.15.44,1ch.4.22
Achzib@Jos.19.29,jos.19.29
Achzib@Jos.19.29,jdg.1.31
Adadah@Jos.15.22,jos.15.22
Adam@Jos.3.16,jos.3.16
Adamah@Jos.19.36,jos.19.36
Adami-nekeb@Jos.19.33,jos.19.33
Addan@Ezr.2.59,ezr.2.59
Addan@Ezr.2.59,neh.7.61
Addar@Jos.15.3,jos.15.3
Adithaim@Jos.15.36,jos.15.36
Admah@Gen.10.19,gen.10.19
Admah@Gen.10.19,gen.14.2
Admah@Gen.10.19,gen.14.8
Admah@Gen.10.19,deu.29.23
Admah@Gen.10.19,hos.11.8
Adoraim@2Ch.11.9,2ch.11.9
Adramyttium@Act.27.2,act.27.2
Adriatic_Sea@Act.27.27,act.27.27
Adullam@Jos.12.15,jos.12.15
Adullam@Jos.12.15,jos.15.35
Adullam@Jos.12.15,1sa.22.1
Adullam@Jos.12.15,2sa.23.13
Adullam@Jos.12.15,1ch.11.15
Adullam@Jos.12.15,2ch.11.7
Adullam@Jos.12.15,neh.11.30
Adullam@Jos.12.15,mic.1.15
Adullam@Jos.12.15,gen.38.1
Adullam@Jos.12.15,gen.38.12
Adullam@Jos.12.15,gen.38.20
Adummim@Jos.15.7,jos.15.7
Adummim@Jos.15.7,jos.18.17
Aenon@Jhn.3.23,jhn.3.23
Ahava@Ezr.8.15,ezr.8.15
Ahava@Ezr.8.15,ezr.8.21
Ahava@Ezr.8.15,ezr.8.31
Ahlab@Jdg.1.31,jdg.1.31
Ahlab@Jdg.1.31,jos.19.29
Ai@Gen.12.8,gen.12.8
Ai@Gen.12.8,gen.13.3
